CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
88.9762,0.0,18.1,0.0,0.6709999999999999,6.968,91.9,1.4165,24.0,666.0,20.2,396.9,17.21,10.4
0.15875999999999998,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0,19.2,376.94,9.88,21.7
1.6286399999999999,0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4.0,437.0,21.2,396.9,34.41,14.4
0.82526,20.0,3.97,0.0,0.647,7.327000000000001,94.5,2.0788,5.0,264.0,13.0,393.42,11.25,31.0
9.92485,0.0,18.1,0.0,0.74,6.251,96.6,2.198,24.0,666.0,20.2,388.52,16.44,12.6
0.04011,80.0,1.52,0.0,0.40399999999999997,7.287000000000001,34.1,7.309,2.0,329.0,12.6,396.9,4.08,33.3
0.31533,0.0,6.2,0.0,0.504,8.266,78.3,2.8944,8.0,307.0,17.4,385.05,4.14,44.8
1.8002799999999999,0.0,19.58,0.0,0.605,5.877000000000001,79.2,2.4259,5.0,403.0,14.7,227.61,12.14,23.8
0.07977999999999999,40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4.0,254.0,17.6,396.9,7.19,29.1
10.232999999999999,0.0,18.1,0.0,0.614,6.185,96.7,2.1705,24.0,666.0,20.2,379.7,18.03,14.6
3.32105,0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5.0,403.0,14.7,396.9,26.82,13.4
2.01019,0.0,19.58,0.0,0.605,7.928999999999999,96.2,2.0459,5.0,403.0,14.7,369.3,3.7,50.0
8.98296,0.0,18.1,1.0,0.77,6.212000000000001,97.4,2.1222,24.0,666.0,20.2,377.73,17.6,17.8
4.55587,0.0,18.1,0.0,0.718,3.5610000000000004,87.9,1.6132,24.0,666.0,20.2,354.7,7.12,27.5
0.08244,30.0,4.93,0.0,0.428,6.481,18.5,6.1899,6.0,300.0,16.6,379.41,6.36,23.7
0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
3.7749800000000002,0.0,18.1,0.0,0.655,5.952000000000001,84.7,2.8715,24.0,666.0,20.2,22.01,17.15,19.0
0.09252,30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6.0,300.0,16.6,383.78,7.37,23.3
0.24522,0.0,9.9,0.0,0.544,5.782,71.7,4.0317,4.0,304.0,18.4,396.9,15.94,19.8
8.71675,0.0,18.1,0.0,0.693,6.471,98.8,1.7257,24.0,666.0,20.2,391.98,17.12,13.1
0.18159,0.0,7.38,0.0,0.493,6.376,54.3,4.5404,5.0,287.0,19.6,396.9,6.87,23.1
7.022589999999999,0.0,18.1,0.0,0.718,6.006,95.3,1.8746,24.0,666.0,20.2,319.98,15.7,14.2
11.0874,0.0,18.1,0.0,0.718,6.4110000000000005,100.0,1.8589,24.0,666.0,20.2,318.75,15.02,16.7
1.15172,0.0,8.14,0.0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4.0,307.0,21.0,358.77,18.35,13.1
8.20058,0.0,18.1,0.0,0.713,5.936,80.3,2.7792,24.0,666.0,20.2,3.5,16.94,13.5
0.2896,0.0,9.69,0.0,0.585,5.39,72.9,2.7986,6.0,391.0,19.2,396.9,21.14,19.7
0.10612,30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6.0,300.0,16.6,394.62,12.4,20.1
9.82349,0.0,18.1,0.0,0.6709999999999999,6.794,98.8,1.358,24.0,666.0,20.2,396.9,21.24,13.3
0.21038,20.0,3.33,0.0,0.4429,6.812,32.2,4.1007,5.0,216.0,14.9,396.9,4.85,35.1
0.16439,22.0,5.86,0.0,0.431,6.433,49.1,7.8265,7.0,330.0,19.1,374.71,9.52,24.5
1.6128200000000001,0.0,8.14,0.0,0.5379999999999999,6.096,96.9,3.7598,4.0,307.0,21.0,248.31,20.34,13.5
0.44178,0.0,6.2,0.0,0.504,6.5520000000000005,21.4,3.3751,8.0,307.0,17.4,380.34,3.76,31.5
0.5405,20.0,3.97,0.0,0.575,7.47,52.6,2.872,5.0,264.0,13.0,390.3,3.16,43.5
0.24103000000000002,0.0,7.38,0.0,0.493,6.082999999999999,43.7,5.4159,5.0,287.0,19.6,396.9,12.79,22.2
9.72418,0.0,18.1,0.0,0.74,6.406000000000001,97.2,2.0651,24.0,666.0,20.2,385.96,19.52,17.1
0.04297,52.5,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,293.0,16.6,371.72,9.51,24.8
0.015009999999999999,90.0,1.21,1.0,0.401,7.922999999999999,24.8,5.885,1.0,198.0,13.6,395.52,3.16,50.0
0.01432,100.0,1.32,0.0,0.41100000000000003,6.816,40.5,8.3248,5.0,256.0,15.1,392.9,3.95,31.6
14.4383,0.0,18.1,0.0,0.597,6.852,100.0,1.4655,24.0,666.0,20.2,179.36,19.78,27.5
13.0751,0.0,18.1,0.0,0.58,5.712999999999999,56.7,2.8237,24.0,666.0,20.2,396.9,14.76,20.1
11.8123,0.0,18.1,0.0,0.718,6.824,76.5,1.794,24.0,666.0,20.2,48.45,22.74,8.4
0.02187,60.0,2.93,0.0,0.401,6.8,9.9,6.2196,1.0,265.0,15.6,393.37,5.03,31.1
0.08187,0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2.0,276.0,18.0,393.53,3.57,43.8
0.19186,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5.0,287.0,19.6,393.68,5.08,24.6
23.6482,0.0,18.1,0.0,0.6709999999999999,6.38,96.2,1.3861,24.0,666.0,20.2,396.9,23.69,13.1
9.39063,0.0,18.1,0.0,0.74,5.627000000000001,93.9,1.8172,24.0,666.0,20.2,396.9,22.88,12.8
0.12932000000000002,0.0,13.92,0.0,0.43700000000000006,6.678,31.1,5.9604,4.0,289.0,16.0,396.9,6.27,28.6
7.75223,0.0,18.1,0.0,0.713,6.301,83.7,2.7831,24.0,666.0,20.2,272.21,16.23,14.9
0.09512000000000001,0.0,12.83,0.0,0.43700000000000006,6.2860000000000005,45.0,4.5026,5.0,398.0,18.7,383.23,8.94,21.4
0.13554000000000002,12.5,6.07,0.0,0.409,5.593999999999999,36.8,6.497999999999999,4.0,345.0,18.9,396.9,13.09,17.4
0.16211,20.0,6.96,0.0,0.46399999999999997,6.24,16.3,4.428999999999999,3.0,223.0,18.6,396.9,6.59,25.2
8.792119999999999,0.0,18.1,0.0,0.584,5.565,70.6,2.0635,24.0,666.0,20.2,3.65,17.16,11.7
0.25356,0.0,9.9,0.0,0.544,5.705,77.7,3.945,4.0,304.0,18.4,396.42,11.5,16.2
0.88125,0.0,21.89,0.0,0.624,5.6370000000000005,94.7,1.9799,4.0,437.0,21.2,396.9,18.34,14.3
73.5341,0.0,18.1,0.0,0.679,5.957000000000001,100.0,1.8026,24.0,666.0,20.2,16.45,20.62,8.8
0.1396,0.0,8.56,0.0,0.52,6.167000000000001,90.0,2.421,5.0,384.0,20.9,392.69,12.33,20.1
0.26363000000000003,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5.0,384.0,20.9,391.23,15.55,19.4
0.12082999999999999,0.0,2.89,0.0,0.445,8.068999999999999,76.0,3.4952,2.0,276.0,18.0,396.9,4.21,38.7
0.35114,0.0,7.38,0.0,0.493,6.041,49.9,4.7211,5.0,287.0,19.6,396.9,7.7,20.4
0.05644,40.0,6.41,1.0,0.447,6.757999999999999,32.9,4.0776,4.0,254.0,17.6,396.9,3.53,32.4
0.80271,0.0,8.14,0.0,0.5379999999999999,5.456,36.6,3.7965,4.0,307.0,21.0,288.99,11.69,20.2
9.91655,0.0,18.1,0.0,0.693,5.852,77.8,1.5004,24.0,666.0,20.2,338.16,29.97,6.3
0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4.0,281.0,19.0,396.9,5.29,28.0
1.2074200000000002,0.0,19.58,0.0,0.605,5.875,94.6,2.4259,5.0,403.0,14.7,292.29,14.43,17.4
1.4250200000000002,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5.0,403.0,14.7,364.31,7.39,23.3
0.34109,0.0,7.38,0.0,0.493,6.415,40.1,4.7211,5.0,287.0,19.6,396.9,6.12,25.0
0.20608,22.0,5.86,0.0,0.431,5.593,76.5,7.9549,7.0,330.0,19.1,372.49,12.5,17.6
0.10153,0.0,12.83,0.0,0.43700000000000006,6.279,74.5,4.0522,5.0,398.0,18.7,373.66,11.97,20.0
37.6619,0.0,18.1,0.0,0.679,6.202000000000001,78.7,1.8629,24.0,666.0,20.2,18.82,14.52,10.9
0.05425,0.0,4.05,0.0,0.51,6.315,73.4,3.3175,5.0,296.0,16.6,395.6,6.29,24.6
0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2.0,188.0,19.1,379.38,17.58,18.8
0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3.0,193.0,17.8,396.9,9.45,36.2
0.14866,0.0,8.56,0.0,0.52,6.727,79.9,2.7778,5.0,384.0,20.9,394.76,9.42,27.5
0.17171,25.0,5.13,0.0,0.45299999999999996,5.966,93.4,6.8185,8.0,284.0,19.7,378.08,14.44,16.0
0.57529,0.0,6.2,0.0,0.507,8.337,73.3,3.8384,8.0,307.0,17.4,385.91,2.47,41.7
0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5.0,296.0,16.6,391.27,6.92,29.9
0.0351,95.0,2.68,0.0,0.4161,7.853,33.2,5.118,4.0,224.0,14.7,392.78,3.81,48.5
4.812130000000001,0.0,18.1,0.0,0.713,6.7010000000000005,90.0,2.5975,24.0,666.0,20.2,255.23,16.42,16.4
17.8667,0.0,18.1,0.0,0.6709999999999999,6.223,100.0,1.3861,24.0,666.0,20.2,393.74,21.78,10.2
0.15037999999999999,0.0,25.65,0.0,0.581,5.856,97.0,1.9444,2.0,188.0,19.1,370.31,25.41,17.3
0.25915,0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4.0,437.0,21.2,392.11,17.19,16.2
0.06466000000000001,70.0,2.24,0.0,0.4,6.345,20.1,7.8278,5.0,358.0,14.8,368.24,4.97,22.5
11.1604,0.0,18.1,0.0,0.74,6.629,94.6,2.1247,24.0,666.0,20.2,109.85,23.27,13.4
4.64689,0.0,18.1,0.0,0.614,6.98,67.6,2.5329,24.0,666.0,20.2,374.68,11.66,29.8
0.04337,21.0,5.64,0.0,0.439,6.115,63.0,6.8147,4.0,243.0,16.8,393.97,9.43,20.5
0.35809,0.0,6.2,1.0,0.507,6.9510000000000005,88.5,2.8617,8.0,307.0,17.4,391.7,9.71,26.7
0.02985,0.0,2.18,0.0,0.45799999999999996,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
1.8337700000000001,0.0,19.58,1.0,0.605,7.8020000000000005,98.2,2.0407,5.0,403.0,14.7,389.61,1.92,50.0
0.049319999999999996,33.0,2.18,0.0,0.47200000000000003,6.849,70.3,3.1827,7.0,222.0,18.4,396.9,7.53,28.2
25.0461,0.0,18.1,0.0,0.693,5.987,100.0,1.5888,24.0,666.0,20.2,396.9,26.77,5.6
3.8497,0.0,18.1,1.0,0.77,6.395,91.0,2.5052,24.0,666.0,20.2,391.34,13.27,21.7
0.537,0.0,6.2,0.0,0.504,5.981,68.1,3.6715,8.0,307.0,17.4,378.35,11.65,24.3
0.7904100000000001,0.0,9.9,0.0,0.544,6.122000000000001,52.8,2.6403,4.0,304.0,18.4,396.9,5.98,22.1
15.8744,0.0,18.1,0.0,0.6709999999999999,6.545,99.1,1.5192,24.0,666.0,20.2,396.9,21.08,10.9
1.49632,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5.0,403.0,14.7,341.6,13.28,19.6
0.08014,0.0,5.96,0.0,0.499,5.85,41.5,3.9342,5.0,279.0,19.2,396.9,8.77,21.0
0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4.0,437.0,21.2,394.67,16.96,18.1
15.5757,0.0,18.1,0.0,0.58,5.926,71.0,2.9084,24.0,666.0,20.2,368.74,18.13,19.1
0.51183,0.0,6.2,0.0,0.507,7.358,71.6,4.148,8.0,307.0,17.4,390.07,4.73,31.5
0.0795,60.0,1.69,0.0,0.41100000000000003,6.579,35.9,10.7103,4.0,411.0,18.3,370.78,5.49,24.1
3.4742800000000003,0.0,18.1,1.0,0.718,8.78,82.9,1.9047,24.0,666.0,20.2,354.55,5.29,21.9
51.1358,0.0,18.1,0.0,0.597,5.757000000000001,100.0,1.413,24.0,666.0,20.2,2.6,10.11,15.0
0.054970000000000005,0.0,5.19,0.0,0.515,5.985,45.4,4.8122,5.0,224.0,20.2,396.9,9.74,19.0
0.08265,0.0,13.92,0.0,0.43700000000000006,6.127000000000001,18.4,5.5027,4.0,289.0,16.0,396.9,8.58,23.9
0.10008,0.0,2.46,0.0,0.488,6.563,95.6,2.847,3.0,193.0,17.8,396.9,5.68,32.5
0.6147,0.0,6.2,0.0,0.507,6.617999999999999,80.8,3.2721,8.0,307.0,17.4,396.9,7.6,30.1
0.07896,0.0,12.83,0.0,0.43700000000000006,6.273,6.0,4.2515,5.0,398.0,18.7,394.92,6.78,24.1
0.030489999999999996,55.0,3.78,0.0,0.484,6.874,28.1,6.4654,5.0,370.0,17.6,387.97,4.61,31.2
0.10574000000000001,0.0,27.74,0.0,0.609,5.983,98.8,1.8681,4.0,711.0,20.1,390.11,18.07,13.6
0.34006,0.0,21.89,0.0,0.624,6.457999999999999,98.9,2.1185,4.0,437.0,21.2,395.04,12.6,19.2
0.03932,0.0,3.41,0.0,0.489,6.405,73.9,3.0921,2.0,270.0,17.8,393.55,8.2,22.0
0.17134000000000002,0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6.0,432.0,17.8,344.91,15.76,18.3
0.09604,40.0,6.41,0.0,0.447,6.854,42.8,4.2673,4.0,254.0,17.6,396.9,2.98,32.0
0.10793,0.0,8.56,0.0,0.52,6.195,54.4,2.7778,5.0,384.0,20.9,393.49,13.0,21.7
0.033589999999999995,75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3.0,252.0,18.3,395.62,1.98,34.9
9.96654,0.0,18.1,0.0,0.74,6.485,100.0,1.9784,24.0,666.0,20.2,386.73,18.85,15.4
0.5341199999999999,20.0,3.97,0.0,0.647,7.52,89.4,2.1398,5.0,264.0,13.0,388.37,7.26,43.1
0.04203,28.0,15.04,0.0,0.46399999999999997,6.442,53.6,3.6659,4.0,270.0,18.2,395.01,8.16,22.9
3.56868,0.0,18.1,0.0,0.58,6.437,75.0,2.8965,24.0,666.0,20.2,393.37,14.36,23.2
0.11504,0.0,2.89,0.0,0.445,6.162999999999999,69.6,3.4952,2.0,276.0,18.0,391.83,11.34,21.4
0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3.0,216.0,18.6,393.24,8.05,33.0
0.08308,0.0,2.46,0.0,0.488,5.604,89.8,2.9879,3.0,193.0,17.8,391.0,13.98,26.4
0.14476,0.0,10.01,0.0,0.547,5.731,65.2,2.7592,6.0,432.0,17.8,391.5,13.61,19.3
0.08387,0.0,12.83,0.0,0.43700000000000006,5.874,36.6,4.5026,5.0,398.0,18.7,396.06,9.1,20.3
67.9208,0.0,18.1,0.0,0.693,5.683,100.0,1.4254,24.0,666.0,20.2,384.97,22.98,5.0
6.96215,0.0,18.1,0.0,0.7,5.712999999999999,97.0,1.9265,24.0,666.0,20.2,394.43,17.11,15.1
0.06076,0.0,11.93,0.0,0.573,6.976,91.0,2.1675,1.0,273.0,21.0,396.9,5.64,23.9
0.024980000000000002,0.0,1.89,0.0,0.518,6.54,59.7,6.2669,1.0,422.0,15.9,389.96,8.65,16.5
0.01439,60.0,2.93,0.0,0.401,6.604,18.8,6.2196,1.0,265.0,15.6,376.7,4.38,29.1
0.75026,0.0,8.14,0.0,0.5379999999999999,5.9239999999999995,94.1,4.3996,4.0,307.0,21.0,394.33,16.3,15.6
8.24809,0.0,18.1,0.0,0.713,7.393,99.3,2.4527,24.0,666.0,20.2,375.87,16.74,17.8
0.1029,30.0,4.93,0.0,0.428,6.358,52.9,7.0355,6.0,300.0,16.6,372.75,11.22,22.2
0.41238,0.0,6.2,0.0,0.504,7.162999999999999,79.9,3.2157,8.0,307.0,17.4,372.08,6.36,31.6
2.4466799999999997,0.0,19.58,0.0,0.871,5.272,94.0,1.7364,5.0,403.0,14.7,88.63,16.14,13.1
1.05393,0.0,8.14,0.0,0.5379999999999999,5.935,29.3,4.4986,4.0,307.0,21.0,386.85,6.58,23.1
15.1772,0.0,18.1,0.0,0.74,6.152,100.0,1.9142,24.0,666.0,20.2,9.32,26.45,8.7
0.037380000000000004,0.0,5.19,0.0,0.515,6.31,38.5,6.4584,5.0,224.0,20.2,389.4,6.75,20.7
0.62739,0.0,8.14,0.0,0.5379999999999999,5.834,56.5,4.4986,4.0,307.0,21.0,395.62,8.47,19.9
1.00245,0.0,8.14,0.0,0.5379999999999999,6.6739999999999995,87.3,4.239,4.0,307.0,21.0,380.23,11.98,21.0
0.05479,33.0,2.18,0.0,0.47200000000000003,6.6160000000000005,58.1,3.37,7.0,222.0,18.4,393.36,8.93,28.4
0.1265,25.0,5.13,0.0,0.45299999999999996,6.7620000000000005,43.4,7.9809,8.0,284.0,19.7,395.58,9.5,25.0
0.09103,0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3.0,193.0,17.8,394.12,4.82,37.9
0.02875,28.0,15.04,0.0,0.46399999999999997,6.211,28.9,3.6659,4.0,270.0,18.2,396.33,6.21,25.0
0.22438000000000002,0.0,9.69,0.0,0.585,6.027,79.7,2.4982,6.0,391.0,19.2,396.9,14.33,16.8
0.04981,21.0,5.64,0.0,0.439,5.997999999999999,21.4,6.8147,4.0,243.0,16.8,396.9,8.43,23.4
0.01778,95.0,1.47,0.0,0.40299999999999997,7.135,13.9,7.6534,3.0,402.0,17.0,384.3,4.45,32.9
0.030410000000000003,0.0,5.19,0.0,0.515,5.895,59.6,5.615,5.0,224.0,20.2,394.81,10.56,18.5
5.69175,0.0,18.1,0.0,0.583,6.114,79.8,3.5459,24.0,666.0,20.2,392.68,14.98,19.1
16.8118,0.0,18.1,0.0,0.7,5.277,98.1,1.4261,24.0,666.0,20.2,396.9,30.81,7.2
0.06905,0.0,2.18,0.0,0.45799999999999996,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
0.3692,0.0,9.9,0.0,0.544,6.567,87.3,3.6023,4.0,304.0,18.4,395.69,9.28,23.8
0.11432,0.0,8.56,0.0,0.52,6.781000000000001,71.3,2.8561,5.0,384.0,20.9,395.58,7.67,26.5
0.05789,12.5,6.07,0.0,0.409,5.877999999999999,21.4,6.497999999999999,4.0,345.0,18.9,396.21,8.1,22.0
0.59005,0.0,21.89,0.0,0.624,6.372000000000001,97.9,2.3274,4.0,437.0,21.2,385.76,11.12,23.0
0.0459,52.5,5.32,0.0,0.405,6.315,45.6,7.3172,6.0,293.0,16.6,396.9,7.6,22.3
8.15174,0.0,18.1,0.0,0.7,5.39,98.9,1.7281,24.0,666.0,20.2,396.9,20.85,11.5
0.46296000000000004,0.0,6.2,0.0,0.504,7.412000000000001,76.9,3.6715,8.0,307.0,17.4,376.14,5.25,31.7
15.0234,0.0,18.1,0.0,0.614,5.303999999999999,97.3,2.1007,24.0,666.0,20.2,349.48,24.91,12.0
0.05602000000000001,0.0,2.46,0.0,0.488,7.831,53.6,3.1992,3.0,193.0,17.8,392.63,4.45,50.0
5.44114,0.0,18.1,0.0,0.713,6.655,98.2,2.3552,24.0,666.0,20.2,355.29,17.73,15.2
0.27957,0.0,9.69,0.0,0.585,5.926,42.6,2.3817,6.0,391.0,19.2,396.9,13.59,24.5
0.08872999999999999,21.0,5.64,0.0,0.439,5.962999999999999,45.7,6.8147,4.0,243.0,16.8,395.56,13.45,19.7
2.2423599999999997,0.0,19.58,0.0,0.605,5.854,91.8,2.4219999999999997,5.0,403.0,14.7,395.11,11.64,22.7
14.0507,0.0,18.1,0.0,0.597,6.657,100.0,1.5275,24.0,666.0,20.2,35.05,21.22,17.2
0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5.0,296.0,16.6,396.9,14.69,23.1
0.19802,0.0,10.59,0.0,0.489,6.182,42.4,3.9454,4.0,277.0,18.6,393.63,9.47,25.0
9.2323,0.0,18.1,0.0,0.631,6.216,100.0,1.1691,24.0,666.0,20.2,366.15,9.53,50.0
0.07013,0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5.0,276.0,16.4,392.78,9.69,28.7
0.04684,0.0,3.41,0.0,0.489,6.417000000000001,66.1,3.0923,2.0,270.0,17.8,392.18,8.81,22.6
0.01096,55.0,2.25,0.0,0.389,6.452999999999999,31.9,7.3073,1.0,300.0,15.3,394.72,8.23,22.0
0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4.0,305.0,19.2,390.91,5.52,22.8
13.6781,0.0,18.1,0.0,0.74,5.935,87.9,1.8206,24.0,666.0,20.2,68.95,34.02,8.4
7.83932,0.0,18.1,0.0,0.655,6.209,65.4,2.9634,24.0,666.0,20.2,396.9,13.22,21.4
0.06617,0.0,3.24,0.0,0.46,5.867999999999999,25.8,5.2146,4.0,430.0,16.9,382.44,9.97,19.3
5.5810699999999995,0.0,18.1,0.0,0.713,6.436,87.9,2.3158,24.0,666.0,20.2,100.19,16.22,14.3
0.06899,0.0,25.65,0.0,0.581,5.87,69.7,2.2577,2.0,188.0,19.1,389.15,14.37,22.0
